SYMBOL,EX,TIME,MID,CNT,
JPM,T,9:30:00 AM,42.78,56,
JPM,T,9:31:00 AM,42.89,1305,
JPM,T,9:32:00 AM,42.96,1591,
JPM,T,9:33:00 AM,42.95,704,
JPM,T,9:34:00 AM,43.05,1853,
JPM,T,9:35:00 AM,43.06,1620,
JPM,T,9:36:00 AM,43.02,2061,
JPM,T,9:37:00 AM,42.97,2653,
JPM,T,9:38:00 AM,42.99,1442,
JPM,T,9:39:00 AM,43.04,3234,
JPM,T,9:40:00 AM,43.13,2299,
JPM,T,9:41:00 AM,43.07,1780,
JPM,T,9:42:00 AM,43.05,1210,
JPM,T,9:43:00 AM,43.05,984,
JPM,T,9:44:00 AM,43.13,2094,
JPM,T,9:45:00 AM,43.11,2076,
JPM,T,9:46:00 AM,43.22,2714,
JPM,T,9:47:00 AM,43.29,1408,
JPM,T,9:48:00 AM,43.24,1058,
JPM,T,9:49:00 AM,43.25,882,
JPM,T,9:50:00 AM,43.23,1606,
JPM,T,9:51:00 AM,43.24,952,
JPM,T,9:52:00 AM,43.27,869,
JPM,T,9:53:00 AM,43.26,458,
JPM,T,9:54:00 AM,43.27,428,
JPM,T,9:55:00 AM,43.32,1792,
JPM,T,9:56:00 AM,43.36,2595,
JPM,T,9:57:00 AM,43.35,1948,
JPM,T,9:58:00 AM,43.31,1255,
JPM,T,9:59:00 AM,43.31,1979,
JPM,T,10:00:00 AM,43.24,1529,
JPM,T,10:01:00 AM,43.23,3046,
JPM,T,10:02:00 AM,43.28,1953,
JPM,T,10:03:00 AM,43.24,1946,
JPM,T,10:04:00 AM,43.30,1152,
JPM,T,10:05:00 AM,43.35,1263,
JPM,T,10:06:00 AM,43.37,1170,
JPM,T,10:07:00 AM,43.34,1109,
JPM,T,10:08:00 AM,43.31,862,
JPM,T,10:09:00 AM,43.26,864,
JPM,T,10:10:00 AM,43.27,939,
JPM,T,10:11:00 AM,43.25,910,
JPM,T,10:12:00 AM,43.33,1688,
JPM,T,10:13:00 AM,43.35,1434,
JPM,T,10:14:00 AM,43.38,830,
JPM,T,10:15:00 AM,43.35,564,
JPM,T,10:16:00 AM,43.34,698,
JPM,T,10:17:00 AM,43.35,1070,
JPM,T,10:18:00 AM,43.38,865,
JPM,T,10:19:00 AM,43.32,965,
JPM,T,10:20:00 AM,43.34,1187,
JPM,T,10:21:00 AM,43.37,1540,
JPM,T,10:22:00 AM,43.36,1074,
JPM,T,10:23:00 AM,43.38,1484,
JPM,T,10:24:00 AM,43.37,1175,
JPM,T,10:25:00 AM,43.36,1168,
JPM,T,10:26:00 AM,43.37,879,
JPM,T,10:27:00 AM,43.39,790,
JPM,T,10:28:00 AM,43.38,1655,
JPM,T,10:29:00 AM,43.32,2242,
JPM,T,10:30:00 AM,43.34,932,
JPM,T,10:31:00 AM,43.32,694,
JPM,T,10:32:00 AM,43.29,633,
JPM,T,10:33:00 AM,43.30,602,
JPM,T,10:34:00 AM,43.22,1108,
JPM,T,10:35:00 AM,43.27,558,
JPM,T,10:36:00 AM,43.27,461,
