SYMBOL,EXCHANGE,TIME,PRICE,VOL,CNT
JPM,T,9:30:00 AM,42.8,28836,28
JPM,T,9:31:00 AM,42.89,58989,183
JPM,T,9:32:00 AM,42.95,11881,321
JPM,T,9:33:00 AM,42.95,39658,66
JPM,T,9:34:00 AM,43.04,24716,243
JPM,T,9:35:00 AM,43.05,39215,177
JPM,T,9:36:00 AM,43.02,40749,197
JPM,T,9:37:00 AM,42.96,19578,203
JPM,T,9:38:00 AM,42.98,89144,119
JPM,T,9:39:00 AM,43.03,58264,408
JPM,T,9:40:00 AM,43.13,34702,292
JPM,T,9:41:00 AM,43.07,11047,187
JPM,T,9:42:00 AM,43.05,16556,69
JPM,T,9:43:00 AM,43.04,38014,101
JPM,T,9:44:00 AM,43.13,44756,217
JPM,T,9:45:00 AM,43.11,81078,254
JPM,T,9:46:00 AM,43.21,66915,371
JPM,T,9:47:00 AM,43.28,22711,281
JPM,T,9:48:00 AM,43.24,23093,110
JPM,T,9:49:00 AM,43.24,70288,97
JPM,T,9:50:00 AM,43.22,19812,274
JPM,T,9:51:00 AM,43.24,19412,94
JPM,T,9:52:00 AM,43.27,3350,102
JPM,T,9:53:00 AM,43.25,6560,18
JPM,T,9:54:00 AM,43.27,39599,29
JPM,T,9:55:00 AM,43.32,74422,216
JPM,T,9:56:00 AM,43.36,62750,414
JPM,T,9:57:00 AM,43.35,35131,300
JPM,T,9:58:00 AM,43.3,42202,164
JPM,T,9:59:00 AM,43.3,52544,237
JPM,T,10:00:00 AM,43.24,73660,304
JPM,T,10:01:00 AM,43.22,30307,466
JPM,T,10:02:00 AM,43.28,27113,192
JPM,T,10:03:00 AM,43.24,29291,208
JPM,T,10:04:00 AM,43.29,37376,180
JPM,T,10:05:00 AM,43.34,40902,210
JPM,T,10:06:00 AM,43.36,40992,201
JPM,T,10:07:00 AM,43.34,11281,155
JPM,T,10:08:00 AM,43.31,19910,62
JPM,T,10:09:00 AM,43.25,37148,102
JPM,T,10:10:00 AM,43.26,11462,123
JPM,T,10:11:00 AM,43.25,68537,67
JPM,T,10:12:00 AM,43.32,46670,293
JPM,T,10:13:00 AM,43.34,10214,217
JPM,T,10:14:00 AM,43.38,20895,47
JPM,T,10:15:00 AM,43.35,17877,94
JPM,T,10:16:00 AM,43.33,31956,94
JPM,T,10:17:00 AM,43.35,19539,168
JPM,T,10:18:00 AM,43.38,21950,114
JPM,T,10:19:00 AM,43.32,23158,120
JPM,T,10:20:00 AM,43.34,30019,117
JPM,T,10:21:00 AM,43.36,16111,160
JPM,T,10:22:00 AM,43.36,46909,94
JPM,T,10:23:00 AM,43.38,30318,231
JPM,T,10:24:00 AM,43.37,25963,146
JPM,T,10:25:00 AM,43.35,13781,146
JPM,T,10:26:00 AM,43.37,11114,80
JPM,T,10:27:00 AM,43.38,49453,63
JPM,T,10:28:00 AM,43.38,91106,220
JPM,T,10:29:00 AM,43.31,17624,417
JPM,T,10:30:00 AM,43.33,9312,87
JPM,T,10:31:00 AM,43.32,10683,50
JPM,T,10:32:00 AM,43.29,9512,55
JPM,T,10:33:00 AM,43.3,29377,54
JPM,T,10:34:00 AM,43.22,7000,135
JPM,T,10:35:00 AM,43.26,12089,40
JPM,T,10:36:00 AM,43.26,19086,49
JPM,T,10:37:00 AM,43.29,34349,91
JPM,T,10:38:00 AM,43.31,25333,166
JPM,T,10:39:00 AM,43.32,24810,86
JPM,T,10:40:00 AM,43.34,11062,106
JPM,T,10:41:00 AM,43.35,13649,56
JPM,T,10:42:00 AM,43.36,35902,71
JPM,T,10:43:00 AM,43.45,19287,138
JPM,T,10:44:00 AM,43.44,28044,79
JPM,T,10:45:00 AM,43.48,21726,135
JPM,T,10:46:00 AM,43.41,38437,98
JPM,T,10:47:00 AM,43.41,49926,202
JPM,T,10:48:00 AM,43.32,7456,228
JPM,T,10:49:00 AM,43.32,26354,41
JPM,T,10:50:00 AM,43.36,8160,118
JPM,T,10:51:00 AM,43.34,18090,38
JPM,T,10:52:00 AM,43.37,10800,94
JPM,T,10:53:00 AM,43.37,4251,55
JPM,T,10:54:00 AM,43.35,12526,21
JPM,T,10:55:00 AM,43.35,8075,58
JPM,T,10:56:00 AM,43.38,19933,38
JPM,T,10:57:00 AM,43.38,12353,72
JPM,T,10:58:00 AM,43.38,18600,69
JPM,T,10:59:00 AM,43.38,3800,88
JPM,T,11:00:00 AM,43.37,17378,20
JPM,T,11:01:00 AM,43.37,4863,86
JPM,T,11:02:00 AM,43.35,31663,26
JPM,T,11:03:00 AM,43.29,23339,153
JPM,T,11:04:00 AM,43.27,10200,101
JPM,T,11:05:00 AM,43.27,12641,49
JPM,T,11:06:00 AM,43.3,4595,44
JPM,T,11:07:00 AM,43.29,9039,18
JPM,T,11:08:00 AM,43.32,14500,60
JPM,T,11:09:00 AM,43.33,17913,59
JPM,T,11:10:00 AM,43.39,20776,72
JPM,T,11:11:00 AM,43.37,13906,59
JPM,T,11:12:00 AM,43.37,9500,67
JPM,T,11:13:00 AM,43.38,14000,51
JPM,T,11:14:00 AM,43.36,13041,60
JPM,T,11:15:00 AM,43.28,24218,66
JPM,T,11:16:00 AM,43.31,11098,122
JPM,T,11:17:00 AM,43.32,12754,52
JPM,T,11:18:00 AM,43.3,24594,67
JPM,T,11:19:00 AM,43.3,34629,112
JPM,T,11:20:00 AM,43.3,11008,145
JPM,T,11:21:00 AM,43.28,60673,61
JPM,T,11:22:00 AM,43.32,17121,236
JPM,T,11:23:00 AM,43.32,11764,76
JPM,T,11:24:00 AM,43.35,8700,51
JPM,T,11:25:00 AM,43.34,11695,28
JPM,T,11:26:00 AM,43.34,29538,48
JPM,T,11:27:00 AM,43.35,10011,109
JPM,T,11:28:00 AM,43.34,11880,49
JPM,T,11:29:00 AM,43.34,11200,50
JPM,T,11:30:00 AM,43.31,5794,62
JPM,T,11:31:00 AM,43.32,36606,33
JPM,T,11:32:00 AM,43.28,36774,149
JPM,T,11:33:00 AM,43.29,11761,181
JPM,T,11:34:00 AM,43.25,23900,64
JPM,T,11:35:00 AM,43.27,8120,104
JPM,T,11:36:00 AM,43.3,15495,52
JPM,T,11:37:00 AM,43.3,9500,79
JPM,T,11:38:00 AM,43.3,2100,50
JPM,T,11:39:00 AM,43.31,16050,17
JPM,T,11:40:00 AM,43.27,11131,87
JPM,T,11:41:00 AM,43.28,21300,57
JPM,T,11:42:00 AM,43.3,5200,105
JPM,T,11:43:00 AM,43.31,450,10
JPM,T,11:44:00 AM,43.31,11426,2
JPM,T,11:45:00 AM,43.33,3000,56
JPM,T,11:46:00 AM,43.32,9230,14
JPM,T,11:47:00 AM,43.34,7060,49
JPM,T,11:48:00 AM,43.35,26895,36
JPM,T,11:49:00 AM,43.35,3897,108
JPM,T,11:50:00 AM,43.35,9279,20
JPM,T,11:51:00 AM,43.35,10765,57
JPM,T,11:52:00 AM,43.4,4604,57
JPM,T,11:53:00 AM,43.41,9000,23
JPM,T,11:54:00 AM,43.41,900,46
JPM,T,11:55:00 AM,43.41,600,5
JPM,T,11:56:00 AM,43.41,4815,5
JPM,T,11:57:00 AM,43.42,5676,19
JPM,T,11:58:00 AM,43.42,32600,32
JPM,T,11:59:00 AM,43.47,21066,137
JPM,T,12:00:00 PM,43.49,34250,93
JPM,T,12:01:00 PM,43.52,48834,144
JPM,T,12:02:00 PM,43.56,15714,184
JPM,T,12:03:00 PM,43.55,15406,71
JPM,T,12:04:00 PM,43.6,24549,84
JPM,T,12:05:00 PM,43.64,50874,102
JPM,T,12:06:00 PM,43.65,30870,177
JPM,T,12:07:00 PM,43.67,12590,110
JPM,T,12:08:00 PM,43.68,18264,66
JPM,T,12:09:00 PM,43.7,18121,102
JPM,T,12:10:00 PM,43.67,11232,110
JPM,T,12:11:00 PM,43.66,24037,70
JPM,T,12:12:00 PM,43.62,8950,135
JPM,T,12:13:00 PM,43.61,2300,55
JPM,T,12:14:00 PM,43.59,5187,9
JPM,T,12:15:00 PM,43.6,11189,29
JPM,T,12:16:00 PM,43.54,23193,53
JPM,T,12:17:00 PM,43.56,12100,118
JPM,T,12:18:00 PM,43.56,6162,63
JPM,T,12:19:00 PM,43.57,0,42
JPM,T,12:20:00 PM,43.57,2505,0
JPM,T,12:21:00 PM,43.58,25697,15
JPM,T,12:22:00 PM,43.56,2600,115
JPM,T,12:23:00 PM,43.57,11214,13
JPM,T,12:24:00 PM,43.57,0,56
JPM,T,12:25:00 PM,43.57,15408,0
JPM,T,12:26:00 PM,43.56,23489,70
JPM,T,12:27:00 PM,43.55,5750,133
JPM,T,12:28:00 PM,43.52,2000,31
JPM,T,12:29:00 PM,43.51,5612,9
JPM,T,12:30:00 PM,43.53,5875,37
JPM,T,12:31:00 PM,43.53,22912,29
JPM,T,12:32:00 PM,43.46,14651,117
JPM,T,12:33:00 PM,43.45,11800,80
JPM,T,12:34:00 PM,43.46,7800,52
JPM,T,12:35:00 PM,43.45,12716,42
JPM,T,12:36:00 PM,43.49,2400,61
JPM,T,12:37:00 PM,43.5,7474,13
JPM,T,12:38:00 PM,43.48,13177,37
JPM,T,12:39:00 PM,43.53,2694,80
JPM,T,12:40:00 PM,43.56,23564,18
JPM,T,12:41:00 PM,43.56,7500,95
JPM,T,12:42:00 PM,43.55,5300,37
JPM,T,12:43:00 PM,43.55,1200,27
JPM,T,12:44:00 PM,43.55,9900,11
JPM,T,12:45:00 PM,43.54,9500,44
JPM,T,12:46:00 PM,43.59,28102,40
JPM,T,12:47:00 PM,43.6,37931,130
JPM,T,12:48:00 PM,43.55,35450,202
JPM,T,12:49:00 PM,43.55,11356,185
JPM,T,12:50:00 PM,43.58,4231,54
JPM,T,12:51:00 PM,43.57,17615,20
JPM,T,12:52:00 PM,43.57,15156,80
JPM,T,12:53:00 PM,43.57,9570,79
JPM,T,12:54:00 PM,43.55,23314,52
JPM,T,12:55:00 PM,43.55,26595,119
JPM,T,12:56:00 PM,43.53,24600,128
JPM,T,12:57:00 PM,43.56,6100,88
JPM,T,12:58:00 PM,43.57,24295,24
JPM,T,12:59:00 PM,43.56,4000,103
JPM,T,1:00:00 PM,43.57,6669,16
JPM,T,1:01:00 PM,43.57,7276,28
JPM,T,1:02:00 PM,43.58,29385,43
JPM,T,1:03:00 PM,43.61,34118,128
JPM,T,1:04:00 PM,43.61,11068,153
JPM,T,1:05:00 PM,43.61,9013,52
JPM,T,1:06:00 PM,43.57,15611,52
JPM,T,1:07:00 PM,43.57,3650,73
JPM,T,1:08:00 PM,43.53,19234,23
JPM,T,1:09:00 PM,43.54,12912,84
JPM,T,1:10:00 PM,43.53,15303,65
JPM,T,1:11:00 PM,43.52,6486,33
JPM,T,1:12:00 PM,43.51,5329,32
JPM,T,1:13:00 PM,43.49,1700,34
JPM,T,1:14:00 PM,43.49,23977,15
JPM,T,1:15:00 PM,43.54,2500,115
JPM,T,1:16:00 PM,43.54,5861,16
JPM,T,1:17:00 PM,43.55,5975,25
JPM,T,1:18:00 PM,43.55,41868,25
JPM,T,1:19:00 PM,43.53,12400,139
JPM,T,1:20:00 PM,43.49,18700,56
JPM,T,1:21:00 PM,43.48,13168,80
JPM,T,1:22:00 PM,43.45,28300,77
